employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
8455,Operations,region_5,Bachelor's,m,sourcing,1,32,4.0,5,0,0,61,0
45188,Technology,region_11,Bachelor's,f,other,1,35,1.0,4,1,0,76,0
10881,Operations,region_26,Bachelor's,m,other,1,28,3.0,4,0,0,59,0
70189,Technology,region_15,Bachelor's,m,other,2,40,5.0,13,1,0,78,0
69740,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,40,3.0,11,0,0,54,0
55412,Analytics,region_22,Bachelor's,m,sourcing,2,30,3.0,6,1,0,85,0
11507,Operations,region_29,Bachelor's,f,sourcing,1,32,4.0,2,0,0,63,0
36461,Technology,region_4,Bachelor's,m,sourcing,2,32,4.0,6,1,0,79,0
53185,Procurement,region_17,Bachelor's,m,other,1,35,3.0,7,1,1,65,0
27508,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,43,1.0,3,0,0,54,0
23986,R&D,region_26,Bachelor's,m,sourcing,1,37,3.0,6,0,0,89,0
15313,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,39,3.0,4,1,0,51,0
10507,Operations,region_2,Bachelor's,m,other,1,56,1.0,4,0,0,62,0
3036,Sales & Marketing,region_17,Bachelor's,m,other,1,32,1.0,6,0,0,50,0
12536,Analytics,region_22,Bachelor's,m,sourcing,3,27,3.0,3,0,0,80,0
39390,Sales & Marketing,region_22,Bachelor's,f,other,1,26,2.0,3,1,0,48,0
3473,Operations,region_16,Bachelor's,m,other,1,29,3.0,3,0,0,66,0
6069,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,26,1.0,2,0,0,53,0
19352,Operations,region_22,Bachelor's,f,sourcing,1,40,3.0,7,0,0,59,0
37233,Technology,region_31,Bachelor's,m,other,1,33,3.0,6,0,0,77,0
13494,Sales & Marketing,region_3,Master's & above,m,other,1,38,1.0,5,0,0,51,0
62145,R&D,region_22,Master's & above,m,other,1,41,4.0,11,1,0,86,0
75634,Technology,region_2,Master's & above,f,other,1,60,5.0,33,1,0,80,0
73198,Technology,region_15,Bachelor's,f,other,1,35,4.0,7,0,0,83,0
5466,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,41,4.0,15,0,0,56,0
20322,HR,region_2,Master's & above,f,sourcing,1,40,2.0,7,0,0,58,0
13724,Analytics,region_8,Bachelor's,m,sourcing,1,31,4.0,2,1,0,84,0
34237,Procurement,region_17,Master's & above,f,sourcing,1,37,2.0,10,0,0,69,0
73344,Analytics,region_9,Bachelor's,m,other,1,27,3.0,4,1,0,88,0
34834,Procurement,region_22,Bachelor's,m,sourcing,2,30,4.0,3,1,0,69,0
42935,Sales & Marketing,region_12,Bachelor's,f,sourcing,1,31,3.0,6,0,0,48,0
